Overall Satisfaction,How likely are you to recommend our events to a friend or colleague?,Which sessions did you attend?,Please rate the following aspects of the event [Venue],Please rate the following aspects of the event [Speakers],Please rate the following aspects of the event [Content Relevance],What did you like most about the event?,What could be improved?,Any additional comments?,Preferred Time Slot,Preferred Venue,Pacing,Event Discovery Channel,One-Word Description
5,10 - Extremely Likely,"Keynote, Workshop A, Networking Session",5,5,5,The keynote speaker was incredibly inspiring and the networking opportunities were fantastic. I made some great connections.,The workshop rooms were a bit crowded. It would be great to have more space next time.,"Overall a great event, looking forward to the next one!",Morning (9-11 AM),Conference Room,Just Right,Friend Referral,Inspiring
4,8,Workshop A,4,5,4,The content of Workshop A was very relevant to my work. The speaker was engaging and knowledgeable.,The lunch options were a bit limited for vegetarians. Would appreciate more variety in the future.,Thank you for organizing this!,Afternoon (1-3 PM),Lecture Room,Just Right,Facebook Post,Relevant
3,5,"Keynote, Networking Session",3,4,3,I enjoyed the networking session and meeting new people in the industry.,The keynote felt a bit too generic and didn't provide many actionable takeaways for me.,"It was an okay event, but I was hoping for more in-depth content.",Morning (9-11 AM),Online,Too Slow,Group Chat,Okay
5,9,Workshop B,5,5,5,The hands-on activities in Workshop B were excellent. It was great to apply what we were learning in real-time.,"The registration process was a bit slow in the morning, maybe more staff could help next year.","Loved the interactive elements, please include more of these!",Afternoon (1-3 PM),Lab,Just Right,Email Newsletter,Excellent
2,2,"Networking Session, Keynote",2,3,2,The location was convenient.,The sessions I attended weren't very relevant to my field. The descriptions could have been more detailed to help me choose.,The audio in the main hall for the keynote was not very clear at times.,Evening (4-6 PM),Online,Too Fast,Facebook Post,Lacking
4,7,"Workshop A, Workshop B",4,4,4,I appreciated the variety of topics covered in the workshops.,The breaks between sessions felt a bit rushed. A little more time for networking would be beneficial.,"Good event, I learned a few new things.",Afternoon (1-3 PM),Lecture Room,A Bit Fast,Friend Referral,Informative
5,10,"Keynote, Networking Session",5,5,5,The entire event was very well-organized. The staff were friendly and helpful.,I can't think of anything significant. Everything ran smoothly for me.,Fantastic event! One of the best I've attended this year.,Morning (9-11 AM),Conference Room,Just Right,Email Newsletter,Fantastic
3,6,Workshop A,3,4,3,The speaker for Workshop A was good.,The room for Workshop A was too cold. It was a bit distracting.,,Afternoon (1-3 PM),Lecture Room,Just Right,Group Chat,Good
4,8,"Keynote, Workshop B",4,5,4,The practical examples in Workshop B were very useful.,It would be helpful to have the presentation slides available for download after the event.,I would recommend this event to my colleagues.,Afternoon (1-3 PM),Lab,Just Right,Friend Referral,Useful
1,1,Keynote,1,2,1,,The keynote was not what I expected and I left early. The event description was misleading.,Very disappointed with the content. I will not be attending future events.,Morning (9-11 AM),Online,Too Slow,Facebook Post,Disappointing
