Overall Satisfaction,How likely are you to recommend our events to a friend or colleague?,Which sessions did you attend?,Please rate the following aspects of the event [Venue],Please rate the following aspects of the event [Speakers],Please rate the following aspects of the event [Content Relevance],What did you like most about the event?,What could be improved?,Any additional comments?,Preferred Time Slot,Preferred Venue,Pacing,Event Discovery Channel,One-Word Description
5,10,"Keynote: The Future of AI in Research, Paper Session A: NLP Advances",5,5,5,"The keynote was thought-provoking. As a virtual attendee, the streaming quality was flawless.",The online platform for Q&A was a bit clunky. A simple chat window might have been better.,"Excellent content. The hybrid model was executed very well.",Morning (9-11 AM),Online,Just Right,University Mailing List,Insightful
3,6,"Poster Session, Methodology Clinic",3,4,3,"The methodology clinic was quite useful.",It was very difficult for remote attendees to see the posters or interact with presenters during the poster session. This part felt very in-person focused.,"The gap between the in-person and online experience was significant during the poster session.",Afternoon (1-3 PM),Online,Just Right,Advisor Recommendation,Disconnected
4,8,"Paper Session A: NLP Advances, Networking Lunch",5,4,4,"The quality of the papers presented was very high. The in-person networking was also valuable.",The room for Paper Session A was too small and felt crowded. Many people had to stand.,Great to be back in person. The energy is different.,Morning (9-11 AM),In-Person,Just Right,Call for Papers (CFP),Rigorous
2,3,"Keynote: The Future of AI in Research",2,3,2,"I appreciate the option to attend remotely.",The audio from the in-person audience's microphones was terrible. I couldn't hear any of the questions being asked in the room.,The experience for remote attendees needs to be a priority, not an afterthought.,Morning (9-11 AM),Online,Too Slow,Twitter (Academic Circle),Frustrating
5,9,"Doctoral Consortium, Methodology Clinic",5,5,5,"The feedback I received in the Doctoral Consortium was invaluable. The senior researchers were very generous with their time.",,"As a PhD student, this was exactly what I needed. Thank you.",Afternoon (1-3 PM),In-Person,Just Right,Advisor Recommendation,Supportive
4,7,"Paper Session B: Computer Vision",4,4,4,"The research presented was cutting-edge.",The online platform kept crashing on my Firefox browser. I had to switch to Chrome halfway through.,Please ensure cross-browser compatibility for the virtual platform.,Afternoon (1-3 PM),Online,A Bit Fast,University Mailing List,Cutting-edge
3,5,"Networking Lunch, Poster Session",3,3,3,The catering for the lunch was good.,The poster session was chaotic. There was no clear flow or numbering system to find specific posters.,A little more organization for the poster session would go a long way.,Afternoon (1-3 PM),In-Person,Just Right,Friend Referral,Chaotic
5,10,"Keynote: The Future of AI in Research, Doctoral Consortium",5,5,5,"The ability to switch between the in-person event and watching a session from my hotel room was fantastic.",,Hybrid is the future! This was a great example of how to do it right.,Morning (9-11 AM),In-Person,Just Right,Call for Papers (CFP),Flexible
4,8,"Methodology Clinic",4,5,4,"The speaker was an expert in the field and the advice was very practical.",It felt like the speaker was only addressing the in-person audience. They rarely looked at the camera for the virtual attendees.,A small amount of speaker training on engaging a hybrid audience could be beneficial.,Afternoon (1-3 PM),Online,Just Right,Advisor Recommendation,Practical
2,4,"Paper Session A: NLP Advances",2,3,3,,"The presentation slides were often unreadable on the stream due to low resolution. The speaker's code snippets were just a blur.",The streaming bitrate needs to be higher for technical content.,Morning (9-11 AM),Online,Too Fast,Twitter (Academic Circle),Blurry
4,9,"Networking Lunch",5,4,4,"Great opportunity to connect with colleagues I haven't seen in years.",,The value of in-person connection cannot be overstated.,Afternoon (1-3 PM),In-Person,Just Right,University Mailing List,Reconnecting
3,6,"Keynote: The Future of AI in Research",4,3,2,The online platform was easy to navigate.,The keynote topic was too broad and didn't offer much depth for specialists in the field.,An okay start to the workshop, but I was hoping for more technical substance.,Morning (9-11 AM),Online,Just Right,Call for Papers (CFP),Superficial
5,9,"Paper Session B: Computer Vision",5,5,5,"The work on generative models was groundbreaking. The Q&A with the author was very insightful.",,This session alone made the workshop worth attending.,Afternoon (1-3 PM),In-Person,Just Right,Friend Referral,Groundbreaking
4,7,"All sessions",4,4,4,"I liked the poll feature for online attendees to vote on questions.",The in-person attendees' questions always seemed to get priority over the online ones.,,Morning (9-11 AM),Online,Just Right,Twitter (Academic Circle),Engaging
1,2,"Methodology Clinic",1,2,1,"I was excited about the topic.",The speaker had technical issues and the session started 30 minutes late. The content was then rushed to finish on time.,"Very disappointing. Punctuality is important, especially in a packed schedule.",Afternoon (1-3 PM),In-Person,Too Fast,Advisor Recommendation,Disorganized
4,8,"Doctoral Consortium",5,5,4,"The mentors were excellent.",The breakout rooms for the virtual attendees in the consortium were not set up correctly at first, which caused some confusion.,,Afternoon (1-3 PM),Online,Just Right,University Mailing List,Helpful
